"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TCF23",-2.41194313213154,0.395409980483016,-17.7188766746488,7.07321577935768e-43,2.50056791526029e-40,86.9148172999442
"ASPA",-2.40530941022587,0.306325600854629,-18.0712551998258,6.20580292610674e-44,2.55210479110157e-41,89.3291800407592
"OGN",-2.38311171734472,1.43558690544396,-9.41373483979673,1.17498895855019e-17,3.19962195996553e-16,29.3153093597567
"SLITRK3",-2.37747078419262,0.395743161034074,-15.2623617563057,2.14701909123487e-35,3.54627718913721e-33,69.8155372361604
"OMD",-2.34622096091053,0.888364026397176,-11.3176431893787,2.81986149348313e-23,1.59615249874097e-21,42.1280661559582
"MYOCD",-2.3351691748678,1.05994757728072,-10.2328524407525,4.88576866999475e-20,1.79987430473609e-18,34.7400311003324
"ZBTB16",-2.29539033256156,0.689626132820423,-12.1527975678448,8.14734948197419e-26,6.48921894906173e-24,47.9256187171551
"NMU",2.25618344034474,2.32909757543426,13.8145562797667,6.27798798542151e-31,7.76121079105698e-29,59.6080521821007
"ADH1B",-2.25603603086777,1.32033676671068,-9.981134041537,2.67619082507015e-19,9.07877463232131e-18,33.0566028871079
"LOC572558",-2.25408828504778,0.662681111605904,-11.8364289435974,7.52461692632496e-25,5.22857088559911e-23,45.7208340503557
"KCNB1",-2.21614915003811,0.623264006659181,-11.8965630425348,4.93483738376305e-25,3.51384834347029e-23,46.1391878911413
"RERGL",-2.21333708472379,0.897525546085184,-9.8406161030527,6.87538805000326e-19,2.21581740532715e-17,32.1228815167112
"OTX1",2.18974171522095,1.86840692399931,11.6026501511974,3.86592906024316e-24,2.48096613034904e-22,44.0980036293406
"CLEC4M",-2.17210750550364,0.252143950255776,-15.8902104543594,2.53408792833434e-37,4.86327674703479e-35,74.2222991873127
"HPSE2",-2.16649054711756,0.49042715254405,-12.6525930396622,2.39310282817956e-27,2.23256551345585e-25,51.425137004069
"KLHL4",-2.1562420821373,0.858383460028754,-11.1094586231431,1.19623575136786e-22,6.2127182025293e-21,40.6957610929218
"VWC2",-2.13194392999082,0.586018902080259,-11.2220049696172,5.48081490400303e-23,2.96892207340229e-21,41.4693392808649
"TMEM132C",-2.06552435295504,1.32046036773698,-8.37917713507815,9.29418141242553e-15,1.60074401403237e-13,22.7245855786392
