"","SubPathID","SubPathway","Size","Gene","Centralscore","Pvalue","FDR"
"1","00010_1","Glycolysis / Gluconeogenesis","23","FBP1,ALDOA,ALDOB,ALDOC,G6PC,GAPDH,GAPDHS,GCK,GPI,HK1,HK2,HK3,PFKL,PFKM,PFKP,PGM1,PGM2,G6PC2,TPI1,HKDC1,ADPGK,FBP2,G6PC3",0.0015,0,0
"2","00010_2","Glycolysis / Gluconeogenesis","24","AKR1A1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,DLAT,DLD,ALDH2,ALDH3A1,ALDH1B1,ALDH1A3,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,ALDH7A1,PDHA1,PDHA2,PDHB,ACSS2,ACSS1",0.0015,0,0
"3","00010_5","Glycolysis / Gluconeogenesis","23","LDHAL6A,ENO1,ENO2,ENO3,ENO4,LDHA,LDHB,LDHC,PGAM4,PCK1,PCK2,PDHA1,PDHA2,PDHB,PGAM1,PGAM2,PGK1,PGK2,PKLR,PKM,BPGM,LDHAL6B,MINPP1",0.0015,0,0
"4","00010_6","Glycolysis / Gluconeogenesis","17","ENO1,ENO2,ENO3,ALDOA,ALDOB,ALDOC,GAPDH,GAPDHS,ENO4,PGAM4,PGAM1,PGAM2,PGK1,PGK2,BPGM,TPI1,MINPP1",0.0015,0,0
"5","00020_1","Citrate cycle (TCA cycle)","12","DLD,DLST,IDH1,IDH2,IDH3A,IDH3B,IDH3G,OGDH,OGDHL,SUCLG2,SUCLG1,SUCLA2",0.0015,0,0
"6","00020_4","Citrate cycle (TCA cycle)","11","CS,IDH1,IDH2,IDH3A,IDH3B,IDH3G,ACLY,ACO1,OGDH,ACO2,OGDHL",0.0015,0,0
"7","00020_5","Citrate cycle (TCA cycle)","15","CS,DLAT,DLD,FH,MDH1,MDH2,ACLY,ACO1,ACO2,PC,PCK1,PCK2,PDHA1,PDHA2,PDHB",0.0015,0,0
"8","00020_6","Citrate cycle (TCA cycle)","12","DLD,DLST,FH,OGDH,OGDHL,SDHA,SDHB,SDHC,SDHD,SUCLG2,SUCLG1,SUCLA2",0.0015,0,0
"9","00030_2","Pentose phosphate pathway","28","FBP1,PRPS1L1,ALDOA,ALDOB,RPIA,ALDOC,G6PD,PGLS,GPI,IDNK,DERA,PFKL,PFKM,PFKP,PGD,PGM1,PGM2,PRPS1,PRPS2,RPE,RBKS,TALDO1,TKT,RPEL1,TKTL1,TKTL2,FBP2,H6PD",0.0015,0,0
"10","00040_3","Pentose and glucuronate interconversions","8","AKR1B1,DHDH,DCXR,AKR1B10,RPE,SORD,RPEL1,XYLB",0.0015,0,0
"11","00051_1","Fructose and mannose metabolism","26","FBP1,ALDOA,ALDOB,ALDOC,AKR1B1,TKFC,HK1,HK2,HK3,KHK,MPI,PFKFB1,PFKFB2,PFKFB3,PFKFB4,PFKL,PFKM,PFKP,PMM1,PMM2,AKR1B10,TIGAR,SORD,TPI1,HKDC1,FBP2",0.0015,0,0
